ticker,date,open,high,low,close,adj_close,volume
^FCHI,2026-09-08 22:00:00,8258.240234375,8277.240234375,8141.419921875,8156.669921875,8156.669921875,60176300
^FCHI,2026-09-09 22:00:00,8169.64990234375,8190.080078125,8114.0,8116.759765625,8116.759765625,49671000
^FCHI,2026-09-10 22:00:00,8159.22998046875,8207.7099609375,8140.7998046875,8179.77001953125,8179.77001953125,46054500
^FCHI,2026-09-13 22:00:00,8132.6298828125,8165.10009765625,8086.39990234375,8117.77978515625,8117.77978515625,55466300
^FCHI,2026-09-14 22:00:00,8084.60986328125,8110.580078125,8033.0400390625,8090.27978515625,8090.27978515625,49491200
^FCHI,2026-09-15 22:00:00,8105.5400390625,8155.509765625,8088.1298828125,8140.58984375,8140.58984375,58584400
^FCHI,2026-09-16 22:00:00,8176.990234375,8209.669921875,8142.16015625,8186.93017578125,8186.93017578125,0
^FTSE,2026-09-03 23:00:00,10831.5,10843.099609375,10791.400390625,10831.099609375,10831.099609375,678869300
^FTSE,2026-09-06 23:00:00,10831.0,10868.2998046875,10794.2001953125,10822.099609375,10822.099609375,427197400
^FTSE,2026-09-07 23:00:00,10822.2998046875,10850.7001953125,10778.099609375,10811.7001953125,10811.7001953125,552990300
^FTSE,2026-09-08 23:00:00,10811.400390625,10811.599609375,10651.7001953125,10670.099609375,10670.099609375,740091900
^FTSE,2026-09-09 23:00:00,10669.900390625,10688.0,10594.2998046875,10608.900390625,10608.900390625,527847300
^FTSE,2026-09-10 23:00:00,10609.0,10714.7001953125,10602.099609375,10650.400390625,10650.400390625,452884300
^FTSE,2026-09-13 23:00:00,10650.900390625,10734.900390625,10650.900390625,10697.599609375,10697.599609375,870740300
^FTSE,2026-09-14 23:00:00,10697.7998046875,10697.7998046875,10586.400390625,10658.099609375,10658.099609375,1282245100
^FTSE,2026-09-15 23:00:00,10658.2001953125,10735.2998046875,10655.7998046875,10688.5,10688.5,973251300
^FTSE,2026-09-16 23:00:00,10689.26953125,10823.0,10688.91015625,10816.1396484375,10816.1396484375,0
^GDAXI,2026-09-03 22:00:00,25985.859375,26167.9296875,25958.69921875,26046.400390625,26046.400390625,47990000
^GDAXI,2026-09-06 22:00:00,26039.5390625,26069.990234375,25919.609375,26006.529296875,26006.529296875,35638000
^GDAXI,2026-09-07 22:00:00,25897.220703125,26026.779296875,25799.66015625,26007.630859375,26007.630859375,42236700
^GDAXI,2026-09-08 22:00:00,25870.98046875,25909.66015625,25512.390625,25576.44921875,25576.44921875,53670200
^GDAXI,2026-09-09 22:00:00,25555.66015625,25612.08984375,25361.150390625,25361.150390625,25361.150390625,49936000
^GDAXI,2026-09-10 22:00:00,25478.83984375,25581.220703125,25396.380859375,25568.560546875,25568.560546875,45275400
^GDAXI,2026-09-13 22:00:00,25498.740234375,25548.779296875,25325.51953125,25440.810546875,25440.810546875,56050700
^GDAXI,2026-09-14 22:00:00,25360.3203125,25478.98046875,25172.890625,25402.279296875,25402.279296875,48815100
^GDAXI,2026-09-15 22:00:00,25515.9609375,25599.0703125,25361.69921875,25537.75,25537.75,47164400
^GDAXI,2026-09-16 22:00:00,25681.599609375,25800.619140625,25596.05078125,25716.7109375,25716.7109375,0
^GSPC,2026-09-03 04:00:00,7686.7099609375,7756.759765625,7686.7099609375,7747.7099609375,7747.7099609375,4726400000
^GSPC,2026-09-04 04:00:00,7750.18994140625,7750.18994140625,7706.1201171875,7718.60009765625,7718.60009765625,4103570000
^GSPC,2026-09-08 04:00:00,7717.81005859375,7717.81005859375,7666.990234375,7673.52001953125,7673.52001953125,4966930000
^GSPC,2026-09-09 04:00:00,7660.68017578125,7660.68017578125,7624.16015625,7636.35986328125,7636.35986328125,4896940000
^GSPC,2026-09-10 04:00:00,7594.740234375,7612.85986328125,7580.06005859375,7591.7001953125,7591.7001953125,4893500000
^GSPC,2026-09-11 04:00:00,7636.75,7677.02001953125,7636.75,7656.97998046875,7656.97998046875,4722480000
^GSPC,2026-09-14 04:00:00,7611.43994140625,7647.990234375,7592.27978515625,7619.97998046875,7619.97998046875,4963750000
^GSPC,2026-09-15 04:00:00,7612.2998046875,7617.259765625,7572.68994140625,7585.72998046875,7585.72998046875,5154930000
^GSPC,2026-09-16 04:00:00,7601.25,7626.7900390625,7507.77001953125,7551.81005859375,7551.81005859375,5307920000
^GSPC,2026-09-17 04:00:00,7631.43994140625,7646.60009765625,7611.81005859375,7636.419921875,7636.419921875,1628527000
^HSI,2026-09-02 16:00:00,25482.560546875,25538.150390625,25160.380859375,25213.310546875,25213.310546875,2741100000
^HSI,2026-09-03 16:00:00,25515.740234375,25791.380859375,25515.740234375,25650.869140625,25650.869140625,3576700000
^HSI,2026-09-06 16:00:00,25652.970703125,25664.98046875,25362.98046875,25413.119140625,25413.119140625,2421900000
^HSI,2026-09-07 16:00:00,25252.0703125,25394.599609375,25225.689453125,25317.1796875,25317.1796875,2637000000
^HSI,2026-09-08 16:00:00,25328.130859375,25335.51953125,25161.669921875,25274.9609375,25274.9609375,3136300000
^HSI,2026-09-09 16:00:00,24985.1796875,25021.810546875,24889.640625,24954.470703125,24954.470703125,2814600000
^HSI,2026-09-10 16:00:00,24718.150390625,24851.1796875,24570.240234375,24805.630859375,24805.630859375,3138300000
^HSI,2026-09-13 16:00:00,24701.1796875,24926.240234375,24662.109375,24917.599609375,24917.599609375,2514800000
^HSI,2026-09-14 16:00:00,24934.060546875,24934.060546875,24657.009765625,24667.240234375,24667.240234375,2321000000
^HSI,2026-09-15 16:00:00,24789.91015625,24789.91015625,24574.75,24713.779296875,24713.779296875,2163400000
^IBEX,2026-09-03 22:00:00,20000.19921875,20084.400390625,19872.30078125,20050.69921875,20050.69921875,0
^IBEX,2026-09-06 22:00:00,20052.400390625,20076.900390625,19974.69921875,20021.80078125,20021.80078125,0
^IBEX,2026-09-07 22:00:00,19948.30078125,20019.400390625,19810.400390625,19997.099609375,19997.099609375,0
^IBEX,2026-09-08 22:00:00,19794.599609375,19838.30078125,19498.099609375,19695.30078125,19695.30078125,0
^IBEX,2026-09-09 22:00:00,19748.80078125,19833.099609375,19614.5,19659.80078125,19659.80078125,0
^IBEX,2026-09-10 22:00:00,19771.400390625,19884.400390625,19736.099609375,19838.5,19838.5,0
^IBEX,2026-09-13 22:00:00,19763.400390625,19810.900390625,19511.5,19565.5,19565.5,0
^IBEX,2026-09-14 22:00:00,19509.80078125,19665.0,19392.599609375,19555.900390625,19555.900390625,0
^IBEX,2026-09-15 22:00:00,19657.099609375,19708.19921875,19557.69921875,19635.80078125,19635.80078125,0
^IBEX,2026-09-16 22:00:00,19691.5,19869.099609375,19689.599609375,19831.80078125,19831.80078125,107858866
^IXIC,2026-09-03 04:00:00,26336.3203125,26644.5703125,26325.060546875,26584.060546875,26584.060546875,7600140000
^IXIC,2026-09-04 04:00:00,26587.900390625,26628.580078125,26444.83984375,26506.990234375,26506.990234375,6529110000
^IXIC,2026-09-08 04:00:00,26528.5703125,26542.140625,26341.169921875,26421.41015625,26421.41015625,7714560000
^IXIC,2026-09-09 04:00:00,26325.060546875,26366.560546875,26184.2109375,26253.33984375,26253.33984375,7379700000
^IXIC,2026-09-10 04:00:00,26021.05078125,26178.25,25979.5390625,26081.720703125,26081.720703125,7174170000
^IXIC,2026-09-11 04:00:00,26289.41015625,26431.220703125,26283.109375,26333.0390625,26333.0390625,6587900000
^IXIC,2026-09-14 04:00:00,26018.5,26329.98046875,25992.55078125,26186.41015625,26186.41015625,7179780000
^IXIC,2026-09-15 04:00:00,26140.23046875,26172.119140625,25943.310546875,25981.5703125,25981.5703125,7934200000
^IXIC,2026-09-16 04:00:00,26108.4609375,26225.08984375,25802.9609375,25978.4296875,25978.4296875,9968640000
^IXIC,2026-09-17 04:00:00,26377.86328125,26419.375,26289.943359375,26395.384765625,26395.384765625,6892568000
^JKSE,2026-09-02 17:00:00,6632.828125,6681.837890625,6614.7138671875,6667.89111328125,6667.89111328125,373613100
^JKSE,2026-09-03 17:00:00,6695.69482421875,6704.125,6633.9150390625,6636.47509765625,6636.47509765625,278246600
^JKSE,2026-09-06 17:00:00,6652.0908203125,6667.7529296875,6610.93310546875,6619.6728515625,6619.6728515625,302047400
^JKSE,2026-09-07 17:00:00,6639.51123046875,6696.283203125,6636.93603515625,6686.44189453125,6686.44189453125,326049000
^JKSE,2026-09-08 17:00:00,6700.8388671875,6707.30517578125,6642.15283203125,6678.201171875,6678.201171875,287063700
^JKSE,2026-09-09 17:00:00,6688.1748046875,6712.501953125,6585.56298828125,6589.337890625,6589.337890625,403016100
^JKSE,2026-09-10 17:00:00,6552.7919921875,6552.7919921875,6462.9599609375,6541.376953125,6541.376953125,266825300
^JKSE,2026-09-13 17:00:00,6533.8681640625,6550.0,6371.39501953125,6534.69287109375,6534.69287109375,306250700
^JKSE,2026-09-14 17:00:00,6544.77392578125,6549.60400390625,6461.01416015625,6461.15283203125,6461.15283203125,236697900
^JKSE,2026-09-15 17:00:00,6453.9140625,6535.4599609375,6436.85302734375,6436.85302734375,6436.85302734375,222552300
^KLSE,2026-09-01 16:00:00,1700.9599609375,1709.7099609375,1695.8900146484375,1708.739990234375,1708.739990234375,222213900
^KLSE,2026-09-02 16:00:00,1711.1600341796875,1716.22998046875,1708.469970703125,1715.1300048828125,1715.1300048828125,233790100
^KLSE,2026-09-03 16:00:00,1713.739990234375,1715.199951171875,1704.8599853515625,1708.0999755859375,1708.0999755859375,171258000
^KLSE,2026-09-06 16:00:00,1709.699951171875,1715.2900390625,1708.260009765625,1714.7900390625,1714.7900390625,141165000
^KLSE,2026-09-07 16:00:00,1713.1400146484375,1714.5,1710.43994140625,1714.4000244140625,1714.4000244140625,195511200
^KLSE,2026-09-08 16:00:00,1715.4599609375,1718.52001953125,1710.3599853515625,1714.3399658203125,1714.3399658203125,273403100
^KLSE,2026-09-09 16:00:00,1712.699951171875,1713.0799560546875,1701.6800537109375,1705.52001953125,1705.52001953125,230008400
^KLSE,2026-09-10 16:00:00,1705.2900390625,1705.68994140625,1682.56005859375,1686.739990234375,1686.739990234375,215995700
^KLSE,2026-09-13 16:00:00,1686.6500244140625,1698.010009765625,1682.489990234375,1698.010009765625,1698.010009765625,187856300
^KLSE,2026-09-14 16:00:00,1694.9100341796875,1694.9100341796875,1678.06005859375,1679.2099609375,1679.2099609375,249030900
^KS11,2026-09-02 15:00:00,6650.330078125,6682.97021484375,6439.490234375,6579.47998046875,6579.47998046875,433500
^KS11,2026-09-03 15:00:00,6654.35986328125,6746.14013671875,6632.77001953125,6687.2099609375,6687.2099609375,238200
^KS11,2026-09-06 15:00:00,6910.77978515625,6995.39990234375,6867.91015625,6995.39013671875,6995.39013671875,240400
^KS11,2026-09-07 15:00:00,7045.7900390625,7171.52001953125,6951.77978515625,6954.52001953125,6954.52001953125,335200
^KS11,2026-09-08 15:00:00,6972.8701171875,7112.47998046875,6968.06005859375,7051.64013671875,7051.64013671875,322200
^KS11,2026-09-09 15:00:00,7038.85009765625,7072.7900390625,6898.4501953125,7033.919921875,7033.919921875,422600
^KS11,2026-09-10 15:00:00,6802.5,6948.830078125,6802.5,6909.91015625,6909.91015625,268900
^KS11,2026-09-13 15:00:00,6692.60986328125,6773.97021484375,6654.81982421875,6684.3701171875,6684.3701171875,297200
^KS11,2026-09-14 15:00:00,6659.25,6715.4599609375,6582.2001953125,6627.259765625,6627.259765625,287900
^KS11,2026-09-15 15:00:00,6611.240234375,6717.97021484375,6598.8701171875,6717.97021484375,6717.97021484375,209100
^N100,2026-09-03 22:00:00,1907.43994140625,1913.989990234375,1902.8699951171875,1910.530029296875,1910.530029296875,274070900
^N100,2026-09-06 22:00:00,1910.4300537109375,1919.8299560546875,1909.0400390625,1917.0400390625,1917.0400390625,200347000
^N100,2026-09-07 22:00:00,1916.81005859375,1923.8199462890625,1908.2099609375,1921.1700439453125,1921.1700439453125,277547900
^N100,2026-09-08 22:00:00,1921.9200439453125,1921.9200439453125,1886.3699951171875,1896.68994140625,1896.68994140625,369371600
^N100,2026-09-09 22:00:00,1896.6300048828125,1901.77001953125,1884.0899658203125,1886.68994140625,1886.68994140625,294761200
^N100,2026-09-10 22:00:00,1888.43994140625,1909.0400390625,1888.43994140625,1901.510009765625,1901.510009765625,290701000
^N100,2026-09-13 22:00:00,1901.5999755859375,1901.5999755859375,1875.1199951171875,1879.449951171875,1879.449951171875,330404800
^N100,2026-09-14 22:00:00,1879.219970703125,1882.8199462890625,1864.1500244140625,1877.010009765625,1877.010009765625,309967800
^N100,2026-09-15 22:00:00,1877.6800537109375,1892.8299560546875,1877.6800537109375,1887.0799560546875,1887.0799560546875,325367000
^N100,2026-09-16 22:00:00,1891.81005859375,1903.239990234375,1891.0699462890625,1899.27001953125,1899.27001953125,0
^N225,2026-09-02 15:00:00,64724.80859375,64724.80859375,63772.80078125,64214.48046875,64214.48046875,154100000
